A,0,ADJ,86,ADJ,20950,ABR,0,RNNinoperate,0,ADJ,35176
ADV,0,ADJ,20149,ADP,43831,ADJ,0,0,0,ADP,75378
C,0,ADP,43546,ADV,12111,ADV,0,0,0,ADP+DET,17534
CL,0,ADV,13313,AUX,8690,DET,0,0,0,ADP+PRON,3014
D,0,AUX,10031,CONJ,6933,KON,0,0,0,ADV,21904
ET,0,CCONJ,6950,DET,35867,NAM,0,0,0,AUX,13587
N,0,DET,46357,INTJ,181,NOM,0,0,0,CCONJ,19426
P,0,NOUN,57787,NOUN,63271,NUM,0,0,0,DET,63437
P+D,0,NUM,19524,NUM,11934,PRO,0,0,0,NOUN,72221
P+PRO,0,PART,1592,PART,1103,PRP,0,0,0,NUM,53846
PONCT,0,PRON,11541,PRON,11437,PUN,0,0,0,PRON,15341
PREF,0,PROPN,13610,PROPN,19530,SENT,0,0,0,PROPN,17546
PRO,0,PUNCT,36776,PUNCT,39218,SYM,0,0,0,PUNCT,45063
V,0,SCONJ,8842,SCONJ,2663,VER,0,0,0,SCONJ,31885
V,0,SPACE,11758,SYM,2205,VER,0,0,0,VERB,20522
0,0,VERB,22487,VERB,29507,0,0,0,0,X,22513
0,0,X,3912,X,4544,0,0,0,0,X,15280
0,0,X,61,0,0,0,0,0,0,VERB,11632
0,0,0,0,0,0,0,0,0,0,X,263
